YEAR,QTR,WEEK,PRODUCT,INDUSTRY_UNITS
2010,2010-Q3,2010-31,Dishwasher,81967
2010,2010-Q3,2010-31,Dryer,91178
2010,2010-Q3,2010-31,Free Standing Ranges,94998
2010,2010-Q3,2010-31,Freezer,41104
2010,2010-Q3,2010-31,French Door,33952
2010,2010-Q3,2010-31,Front Load,35800
2010,2010-Q3,2010-31,MHC,54680
2010,2010-Q3,2010-31,Side by Side,45794
2010,2010-Q3,2010-31,Top Load,87496
2010,2010-Q3,2010-31,Top Mount,99609
2010,2010-Q3,2010-32,2 Door Bottom Mount,9258
2010,2010-Q3,2010-32,Built-in Ovens,12075
2010,2010-Q3,2010-32,Cooktops,12880
2010,2010-Q3,2010-32,Dishwasher,118798
2010,2010-Q3,2010-32,Dryer,114635
2010,2010-Q3,2010-32,Free Standing Ranges,117237
2010,2010-Q3,2010-32,Freezer,38711
2010,2010-Q3,2010-32,French Door,44972
2010,2010-Q3,2010-32,Front Load,54939
2010,2010-Q3,2010-32,MHC,60797
2010,2010-Q3,2010-32,Side by Side,53518
2010,2010-Q3,2010-32,Top Load,107863
2010,2010-Q3,2010-32,Top Mount,114296
2010,2010-Q3,2010-33,2 Door Bottom Mount,9258
2010,2010-Q3,2010-33,Built-in Ovens,12734
2010,2010-Q3,2010-33,Cooktops,12581
2010,2010-Q3,2010-33,Dishwasher,110017
2010,2010-Q3,2010-33,Dryer,125632
2010,2010-Q3,2010-33,Free Standing Ranges,122628
2010,2010-Q3,2010-33,Freezer,44125
2010,2010-Q3,2010-33,French Door,38637
2010,2010-Q3,2010-33,Front Load,48006
2010,2010-Q3,2010-33,MHC,58981
2010,2010-Q3,2010-33,Side by Side,51958
2010,2010-Q3,2010-33,Top Load,109296
2010,2010-Q3,2010-33,Top Mount,111997
2010,2010-Q3,2010-34,2 Door Bottom Mount,9258
2010,2010-Q3,2010-34,Built-in Ovens,11297
2010,2010-Q3,2010-34,Cooktops,12228
2010,2010-Q3,2010-34,Dishwasher,108822
2010,2010-Q3,2010-34,Dryer,126240
2010,2010-Q3,2010-34,Free Standing Ranges,117683
2010,2010-Q3,2010-34,Freezer,47511
2010,2010-Q3,2010-34,French Door,36594
2010,2010-Q3,2010-34,Front Load,50661
2010,2010-Q3,2010-34,MHC,61596
2010,2010-Q3,2010-34,Side by Side,47654
2010,2010-Q3,2010-34,Top Load,99180
2010,2010-Q3,2010-34,Top Mount,111086
2010,2010-Q3,2010-35,2 Door Bottom Mount,8030
2010,2010-Q3,2010-35,Built-in Ovens,12006
2010,2010-Q3,2010-35,Cooktops,12432
2010,2010-Q3,2010-35,Dishwasher,113150
2010,2010-Q3,2010-35,Dryer,102224
2010,2010-Q3,2010-35,Free Standing Ranges,123502
2010,2010-Q3,2010-35,Freezer,38097
2010,2010-Q3,2010-35,French Door,29751
2010,2010-Q3,2010-35,Front Load,49877
2010,2010-Q3,2010-35,MHC,69152
2010,2010-Q3,2010-35,Side by Side,44156
2010,2010-Q3,2010-35,Top Load,91706
2010,2010-Q3,2010-35,Top Mount,98099
2010,2010-Q3,2010-36,2 Door Bottom Mount,8031
2010,2010-Q3,2010-36,Built-in Ovens,11548
2010,2010-Q3,2010-36,Cooktops,10450
2010,2010-Q3,2010-36,Dishwasher,82813
2010,2010-Q3,2010-36,Dryer,79826
2010,2010-Q3,2010-36,Free Standing Ranges,100480
2010,2010-Q3,2010-36,Freezer,34407
2010,2010-Q3,2010-36,French Door,28026
2010,2010-Q3,2010-36,Front Load,31665
2010,2010-Q3,2010-36,MHC,49993
2010,2010-Q3,2010-36,Side by Side,32867
2010,2010-Q3,2010-36,Top Load,62624
2010,2010-Q3,2010-36,Top Mount,77965
2010,2010-Q3,2010-37,2 Door Bottom Mount,8031
2010,2010-Q3,2010-37,Built-in Ovens,13094
2010,2010-Q3,2010-37,Cooktops,12881
2010,2010-Q3,2010-37,Dishwasher,120587
2010,2010-Q3,2010-37,Dryer,108510
2010,2010-Q3,2010-37,Free Standing Ranges,114697
2010,2010-Q3,2010-37,Freezer,38543
2010,2010-Q3,2010-37,French Door,30527
2010,2010-Q3,2010-37,Front Load,41991
2010,2010-Q3,2010-37,MHC,72584
2010,2010-Q3,2010-37,Side by Side,40223
2010,2010-Q3,2010-37,Top Load,94665
2010,2010-Q3,2010-37,Top Mount,95945
2010,2010-Q3,2010-38,2 Door Bottom Mount,8031
2010,2010-Q3,2010-38,Built-in Ovens,12243
2010,2010-Q3,2010-38,Cooktops,12314
2010,2010-Q3,2010-38,Dishwasher,115212
2010,2010-Q3,2010-38,Dryer,144536
2010,2010-Q3,2010-38,Free Standing Ranges,110876
2010,2010-Q3,2010-38,Freezer,38060
2010,2010-Q3,2010-38,French Door,33184
2010,2010-Q3,2010-38,Front Load,55282
2010,2010-Q3,2010-38,MHC,70012
2010,2010-Q3,2010-38,Side by Side,49757
2010,2010-Q3,2010-38,Top Load,145533
2010,2010-Q3,2010-38,Top Mount,96236
2010,2010-Q3,2010-39,2 Door Bottom Mount,8031
2010,2010-Q3,2010-39,Built-in Ovens,12952
2010,2010-Q3,2010-39,Cooktops,10882
2010,2010-Q3,2010-39,Dishwasher,130532
2010,2010-Q3,2010-39,Dryer,189326
2010,2010-Q3,2010-39,Free Standing Ranges,106237
2010,2010-Q3,2010-39,Freezer,38526
2010,2010-Q3,2010-39,French Door,42735
2010,2010-Q3,2010-39,Front Load,72163
2010,2010-Q3,2010-39,MHC,69193
2010,2010-Q3,2010-39,Side by Side,54720
2010,2010-Q3,2010-39,Top Load,157587
2010,2010-Q3,2010-39,Top Mount,98786
2010,2010-Q4,2010-40,2 Door Bottom Mount,5482
2010,2010-Q4,2010-40,Built-in Ovens,14131
2010,2010-Q4,2010-40,Cooktops,10832
2010,2010-Q4,2010-40,Dishwasher,94546
2010,2010-Q4,2010-40,Dryer,119073
2010,2010-Q4,2010-40,Free Standing Ranges,98386
2010,2010-Q4,2010-40,Freezer,27643
2010,2010-Q4,2010-40,French Door,28992
2010,2010-Q4,2010-40,Front Load,46600
2010,2010-Q4,2010-40,MHC,55732
2010,2010-Q4,2010-40,Side by Side,34623
2010,2010-Q4,2010-40,Top Load,83934
2010,2010-Q4,2010-40,Top Mount,81363
2010,2010-Q4,2010-41,2 Door Bottom Mount,5483
2010,2010-Q4,2010-41,Built-in Ovens,14198
2010,2010-Q4,2010-41,Cooktops,12133
2010,2010-Q4,2010-41,Dishwasher,97519
2010,2010-Q4,2010-41,Dryer,124090
2010,2010-Q4,2010-41,Free Standing Ranges,118972
2010,2010-Q4,2010-41,Freezer,41878
2010,2010-Q4,2010-41,French Door,34740
2010,2010-Q4,2010-41,Front Load,57376
2010,2010-Q4,2010-41,MHC,55404
2010,2010-Q4,2010-41,Side by Side,38668
2010,2010-Q4,2010-41,Top Load,89566
2010,2010-Q4,2010-41,Top Mount,81263
2010,2010-Q4,2010-42,2 Door Bottom Mount,5483
2010,2010-Q4,2010-42,Built-in Ovens,13003
2010,2010-Q4,2010-42,Cooktops,12521
2010,2010-Q4,2010-42,Dishwasher,111465
2010,2010-Q4,2010-42,Dryer,121283
2010,2010-Q4,2010-42,Free Standing Ranges,139587
2010,2010-Q4,2010-42,Freezer,35603
